Period,Open,High,Low,Close
2026-04-06,14695.400000,14760.050000,14678.190000,14749.309409
2026-04-02,14526.900000,14726.080000,14442.870000,14683.198662
2026-04-01,14623.850000,14742.160000,14619.090000,14665.682126
2026-03-31,14264.950000,14580.450000,14264.950000,14560.752311
2026-03-30,14280.320000,14333.210000,14087.510000,14147.311783
2026-03-27,14392.880000,14392.880000,14175.030000,14203.243644
2026-03-26,14619.860000,14658.530000,14437.240000,14444.362205
2026-03-25,14714.560000,14793.690000,14647.810000,14700.183600
2026-03-24,14610.830000,14707.820000,14550.680000,14620.382748
2026-03-23,14661.700000,14832.640000,14640.910000,14675.167616
2026-03-20,14704.740000,14704.740000,14434.660000,14508.117737
2026-03-19,14678.630000,14795.890000,14623.310000,14730.744873
2026-03-18,14932.050000,14949.060000,14764.930000,14770.479344
2026-03-17,14988.120000,15059.050000,14962.910000,14974.176325
2026-03-16,14880.600000,15001.120000,14880.600000,14936.365728
2026-03-13,14877.120000,15009.890000,14766.790000,14785.069435
2026-03-12,15025.370000,15025.370000,14868.640000,14873.221903
2026-03-11,15134.410000,15181.360000,15036.910000,15102.573739
2026-03-10,15148.310000,15256.150000,15066.710000,15114.699421
2026-03-09,14931.020000,15176.840000,14789.640000,15145.376608
2026-03-06,15083.820000,15093.070000,14956.370000,15019.196762
2026-03-05,15264.540000,15307.250000,15085.820000,15219.137161
2026-03-04,15220.770000,15341.490000,15176.550000,15305.011551
2026-03-03,15150.530000,15238.620000,14950.880000,15186.991320
2026-03-02,15203.620000,15374.370000,15144.250000,15331.175703
2026-02-27,15273.980000,15329.690000,15219.160000,15323.803353
2026-02-26,15469.040000,15472.170000,15280.210000,15389.134127
2026-02-25,15403.070000,15486.270000,15403.070000,15472.062323
2026-02-24,15229.370000,15366.810000,15182.250000,15346.738277
2026-02-23,15370.690000,15405.680000,15189.320000,15229.277151
2026-02-20,15241.100000,15402.300000,15227.150000,15388.644663
2026-02-19,15280.870000,15320.180000,15218.060000,15282.091176
2026-02-18,15265.710000,15385.110000,15254.990000,15323.230342
2026-02-17,15185.820000,15290.760000,15087.500000,15237.839175
2026-02-13,15215.880000,15321.790000,15128.600000,15220.126588
2026-02-12,15488.050000,15522.440000,15191.200000,15210.297318
2026-02-11,15528.920000,15566.650000,15388.620000,15450.996043
2026-02-10,15524.060000,15551.440000,15441.970000,15451.324962
2026-02-09,15395.810000,15535.660000,15371.070000,15501.654275
2026-02-06,15170.670000,15455.700000,15170.670000,15427.825944
2026-02-05,15216.010000,15261.540000,15089.320000,15129.231310
2026-02-04,15409.730000,15435.050000,15219.200000,15316.752488
2026-02-03,15545.270000,15560.540000,15270.750000,15394.750112
2026-02-02,15392.030000,15559.420000,15392.030000,15525.109392
2026-01-30,15459.480000,15496.540000,15340.400000,15441.153675
2026-01-29,15526.270000,15558.500000,15288.340000,15506.841722
2026-01-28,15580.040000,15580.590000,15494.280000,15526.693286
2026-01-27,15499.710000,15550.560000,15484.320000,15527.821350
2026-01-26,15404.580000,15496.460000,15401.620000,15464.664557
2026-01-23,15370.360000,15426.210000,15344.110000,15387.629624
2026-01-22,15383.640000,15428.510000,15337.440000,15381.215796
2026-01-21,15152.610000,15373.640000,15140.180000,15297.015078
2026-01-20,15273.650000,15286.570000,15104.680000,15121.519091
2026-01-16,15485.150000,15500.170000,15406.590000,15439.473128
2026-01-15,15503.880000,15525.780000,15434.600000,15448.304421
2026-01-14,15432.200000,15440.130000,15317.690000,15408.151697
2026-01-13,15520.880000,15539.280000,15435.160000,15490.448042
2026-01-12,15446.530000,15540.420000,15427.170000,15520.257462
2026-01-09,15408.970000,15521.380000,15386.310000,15494.506499
2026-01-08,15377.840000,15415.640000,15345.920000,15394.179471
2026-01-07,15446.680000,15492.480000,15389.390000,15392.985546
2026-01-06,15364.210000,15454.640000,15356.010000,15446.031430
2026-01-05,15327.850000,15390.490000,15327.460000,15349.779016
2026-01-02,15296.480000,15333.640000,15177.440000,15252.822085
2025-12-31,15338.980000,15344.770000,15220.030000,15220.454627
2025-12-30,15341.410000,15369.670000,15326.170000,15332.069010
2025-12-29,15348.390000,15384.910000,15315.980000,15353.156174
2025-12-26,15420.010000,15441.400000,15388.030000,15406.480000
2025-12-24,15349.380000,15421.400000,15349.380000,15409.701501
2025-12-23,15277.080000,15362.550000,15272.350000,15360.182879
2025-12-22,15261.030000,15298.230000,15240.170000,15290.554653
2025-12-19,15098.780000,15204.090000,15098.780000,15191.848450
2025-12-18,15066.060000,15150.150000,15022.570000,15058.711516
2025-12-17,15121.050000,15141.480000,14938.810000,14940.005987
2025-12-16,15114.620000,15156.780000,15024.990000,15114.917865
2025-12-15,15247.530000,15249.210000,15117.330000,15150.455745
2025-12-12,15304.230000,15332.900000,15115.210000,15172.128939
2025-12-11,15246.520000,15340.080000,15185.190000,15334.735878
2025-12-10,15184.550000,15333.750000,15165.270000,15302.750109
2025-12-09,15199.870000,15253.900000,15193.350000,15199.655178
2025-12-08,15276.590000,15283.030000,15170.090000,15212.840505
2025-12-05,15255.560000,15321.000000,15237.940000,15264.636079
2025-12-04,15253.580000,15253.580000,15166.730000,15232.813836
2025-12-03,15138.850000,15243.490000,15128.800000,15215.339264
2025-12-02,15173.160000,15218.870000,15119.290000,15169.629788
2025-12-01,15131.280000,15200.900000,15104.030000,15131.999684
2025-11-28,15152.140000,15213.730000,15146.570000,15211.141782
2025-11-26,15087.230000,15171.330000,15066.750000,15129.569780
2025-11-25,14872.650000,15048.570000,14791.440000,15025.536564
2025-11-24,14737.390000,14912.780000,14724.980000,14889.672511
2025-11-21,14557.840000,14788.800000,14482.680000,14662.679701
2025-11-20,14961.130000,15032.990000,14511.000000,14518.952209
2025-11-19,14710.210000,14852.100000,14660.820000,14746.435486
2025-11-18,14743.780000,14799.530000,14596.520000,14690.806483
2025-11-17,14903.460000,14993.590000,14738.120000,14812.023510
2025-11-14,14810.000000,15036.710000,14755.310000,14947.519319
2025-11-13,15149.340000,15152.840000,14924.520000,14951.871178
2025-11-12,15240.530000,15245.100000,15156.130000,15203.126743
2025-11-11,15124.210000,15211.390000,15104.990000,15192.944306
2025-11-10,15057.040000,15181.180000,15026.000000,15161.469218
2025-11-07,14857.260000,14931.550000,14713.840000,14929.626553
2025-11-06,15058.520000,15077.500000,14881.610000,14909.277272
2025-11-05,15018.880000,15151.900000,15004.710000,15077.711381
2025-11-04,15060.410000,15130.700000,15012.530000,15022.752726
2025-11-03,15268.330000,15268.330000,15131.880000,15201.000058
2025-10-31,15260.390000,15260.390000,15116.640000,15173.950393
2025-10-30,15217.880000,15262.710000,15129.760000,15133.233226
2025-10-29,15329.710000,15350.240000,15201.200000,15284.534974
2025-10-28,15300.300000,15330.350000,15240.740000,15285.104943
2025-10-27,15184.270000,15254.810000,15180.900000,15250.144463
2025-10-24,15021.400000,15098.990000,15021.400000,15064.914633
2025-10-23,14868.970000,14970.640000,14861.750000,14946.131870
2025-10-22,14952.350000,14953.260000,14762.370000,14859.331887
2025-10-21,14941.930000,14975.950000,14910.530000,14938.828440
2025-10-20,14838.320000,14958.740000,14838.320000,14938.288037
2025-10-17,14667.810000,14813.330000,14646.830000,14780.356624
2025-10-16,14835.530000,14880.380000,14625.720000,14702.574963
2025-10-15,14833.820000,14912.090000,14664.950000,14795.659261
2025-10-14,14642.480000,14815.550000,14537.300000,14735.210191
2025-10-13,14686.690000,14788.660000,14682.650000,14758.072169
2025-10-10,14948.240000,14996.820000,14528.400000,14531.411791
2025-10-09,14990.680000,14998.700000,14892.390000,14934.377814
2025-10-08,14908.940000,14979.120000,14896.670000,14975.134597
2025-10-07,14958.330000,14976.850000,14855.930000,14888.372859
2025-10-06,14930.990000,14965.550000,14896.240000,14945.226392
2025-10-03,14903.920000,14967.560000,14867.830000,14889.842776
2025-10-02,14922.730000,14923.810000,14838.320000,14887.324575
2025-10-01,14775.360000,14893.810000,14756.840000,14877.958238
2025-09-30,14755.270000,14832.640000,14721.610000,14826.801547
2025-09-29,14765.750000,14800.610000,14727.890000,14764.921838
2025-09-26,14663.220000,14736.680000,14639.950000,14725.984943
2025-09-25,14646.870000,14670.700000,14560.680000,14639.178702
2025-09-24,14783.230000,14787.470000,14676.840000,14712.719134
2025-09-23,14833.350000,14848.930000,14729.870000,14754.626648
2025-09-22,14748.780000,14847.460000,14735.800000,14836.265601
2025-09-19,14731.680000,14786.450000,14694.580000,14769.933161
2025-09-18,14686.750000,14753.120000,14654.390000,14698.083950
2025-09-17,14637.820000,14681.090000,14518.780000,14627.799724
2025-09-16,14680.280000,14684.690000,14627.340000,14641.772606
2025-09-15,14634.010000,14668.530000,14630.880000,14660.131793
